"seq_name","dr_match_name","replicate","dna_type","seq_depth","plate.id","year","season","sampling.date","lat","long","sample.type.year"
"RO2126.9m.D","RO2126.9m",1,"DNA","Shallow",11,2017,"Autumn","2017-10-10",50.80048,-63.20448,"Deep"
"RO2126.9m.R","RO2126.9m",1,"cDNA","Shallow",12,2017,"Autumn","2017-10-10",50.80048,-63.20448,"Deep"
"RO2126.Hypo.D","RO2126.Hypo",1,"DNA","Shallow",11,2017,"Autumn","2017-10-10",50.80048,-63.20448,"Deep"
"RO2126.Hypo.R","RO2126.Hypo",1,"cDNA","Shallow",12,2017,"Autumn","2017-10-10",50.80048,-63.20448,"Deep"
"RO2132D","RO2132",1,"DNA","Shallow",11,2017,"Autumn","2017-10-10",50.90195,-63.25593,"RO2"
"RO2132R","RO2132",1,"cDNA","Shallow",12,2017,"Autumn","2017-10-10",50.90195,-63.25593,"RO2"
"RO312D","RO312",1,"DNA","Shallow",11,2017,"Autumn","2017-10-06",51.32493,-63.46063,"RO3"
"RO312R","RO312",1,"cDNA","Shallow",12,2017,"Autumn","2017-10-06",51.32493,-63.46063,"RO3"
"RO316D","RO316",1,"DNA","Shallow",11,2017,"Autumn","2017-10-06",51.26332,-63.3294,"RO3"
"RO316R","RO316",1,"cDNA","Shallow",12,2017,"Autumn","2017-10-06",51.26332,-63.3294,"RO3"
"RO317D","RO317",1,"DNA","Shallow",11,2017,"Autumn","2017-10-07",51.14686,-63.40013,"RO3"
"RO317R","RO317",1,"cDNA","Shallow",12,2017,"Autumn","2017-10-07",51.14686,-63.40013,"RO3"
"RO318D","RO318",1,"DNA","Shallow",11,2017,"Autumn","2017-10-09",51.143162,-63.40057,"RO3"
"RO318R","RO318",1,"cDNA","Shallow",12,2017,"Autumn","2017-10-09",51.143162,-63.40057,"RO3"
"RO318.Hypo.D","RO318.Hypo",1,"DNA","Shallow",11,2017,"Autumn","2017-10-09",51.143681,-63.39917,"Deep"
"RO318.Hypo.R","RO318.Hypo",1,"cDNA","Shallow",12,2017,"Autumn","2017-10-09",51.143681,-63.39917,"Deep"
