"seq_name","dr_match_name","replicate","dna_type","seq_depth","plate.id","year","season","sampling.date","lat","long","sample.type.year"
"PR42D","PR42",1,"DNA","Shallow",5,2016,"Summer","2016-08-10",51.30536,-63.8649,"Stream"
"PR42R","PR42",1,"cDNA","Shallow",7,2016,"Summer","2016-08-10",51.30536,-63.8649,"Stream"
"PR43D","PR43",1,"DNA","Shallow",5,2016,"Summer","2016-08-10",51.30408,-63.85194,"Stream"
"PR43R","PR43",1,"cDNA","Shallow",7,2016,"Summer","2016-08-10",51.30408,-63.85194,"Stream"
"RO107D","RO107",1,"DNA","Shallow",5,2016,"Summer","2016-08-03",50.46215,-63.22967,"RO1"
"RO107R","RO107",1,"cDNA","Shallow",7,2016,"Summer","2016-08-03",50.46215,-63.22967,"RO1"
"RO108D","RO108",1,"DNA","Shallow",5,2016,"Summer","2016-08-04",50.62074,-63.16989,"RO1"
"RO108R","RO108",1,"cDNA","Shallow",7,2016,"Summer","2016-08-04",50.62074,-63.16989,"RO1"
"RO109D","RO109",1,"DNA","Shallow",5,2016,"Summer","2016-08-04",50.45219,-63.23246,"RO1"
"RO109R","RO109",1,"cDNA","Shallow",7,2016,"Summer","2016-08-04",50.45219,-63.23246,"RO1"
"RO112D","RO112",1,"DNA","Shallow",5,2016,"Summer","2016-08-15",50.43068,-63.21952,"RO1"
"RO112R","RO112",1,"cDNA","Shallow",7,2016,"Summer","2016-08-15",50.43068,-63.21952,"RO1"
"RO246D","RO246",1,"DNA","Shallow",5,2016,"Summer","2016-08-05",50.8881,-63.22749,"RO2"
"RO246R","RO246",1,"cDNA","Shallow",7,2016,"Summer","2016-08-05",50.8881,-63.22749,"RO2"
"RO247D","RO247",1,"DNA","Shallow",5,2016,"Summer","2016-08-05",50.85912,-63.1628,"RO2"
"RO247R","RO247",1,"cDNA","Shallow",7,2016,"Summer","2016-08-05",50.85912,-63.1628,"RO2"
"RO248D","RO248",1,"DNA","Shallow",5,2016,"Summer","2016-08-07",51.00187,-63.34712,"RO2"
"RO248R","RO248",1,"cDNA","Shallow",7,2016,"Summer","2016-08-07",51.00187,-63.34712,"RO2"
"RO249D","RO249",1,"DNA","Shallow",5,2016,"Summer","2016-08-07",51.02136,-63.30664,"RO2"
"RO249R","RO249",1,"cDNA","Shallow",7,2016,"Summer","2016-08-07",51.02136,-63.30664,"RO2"
"RO250D","RO250",1,"DNA","Shallow",5,2016,"Summer","2016-08-07",51.05091,-63.19594,"RO2"
"RO250R","RO250",1,"cDNA","Shallow",7,2016,"Summer","2016-08-07",51.05091,-63.19594,"RO2"
"RO251D","RO251",1,"DNA","Shallow",5,2016,"Summer","2016-08-07",51.01549,-63.25632,"RO2"
"RO251R","RO251",1,"cDNA","Shallow",7,2016,"Summer","2016-08-07",51.01549,-63.25632,"RO2"
"RO252D","RO252",1,"DNA","Shallow",5,2016,"Summer","2016-08-08",50.94286,-63.34372,"RO2"
"RO252R","RO252",1,"cDNA","Shallow",7,2016,"Summer","2016-08-08",50.94286,-63.34372,"RO2"
"RO253D","RO253",1,"DNA","Shallow",5,2016,"Summer","2016-08-08",50.95873,-63.30883,"RO2"
"RO254R","RO254",1,"cDNA","Shallow",7,2016,"Summer","2016-08-08",50.86029,-63.18496,"RO2"
"RO255D","RO255",1,"DNA","Shallow",5,2016,"Summer","2016-08-10",50.8422,-63.18331,"RO2"
"RO255R","RO255",1,"cDNA","Shallow",7,2016,"Summer","2016-08-10",50.8422,-63.18331,"RO2"
"RO256D","RO256",1,"DNA","Shallow",5,2016,"Summer","2016-08-10",50.7984,-63.20644,"RO2"
"RO256R","RO256",1,"cDNA","Shallow",7,2016,"Summer","2016-08-10",50.7984,-63.20644,"RO2"
"RO257D","RO257",1,"DNA","Shallow",5,2016,"Summer","2016-08-10",50.75955,-63.2112,"RO2"
"RO257R","RO257",1,"cDNA","Shallow",7,2016,"Summer","2016-08-10",50.75955,-63.2112,"RO2"
"RO261D","RO261",1,"DNA","Shallow",5,2016,"Summer","2016-08-13",50.6547,-63.26506,"RO2"
"SW33D","SW33",1,"DNA","Shallow",5,2016,"Summer","2016-08-04",51.36618,-63.87583,"Soilwater"
"SW33R","SW33",1,"cDNA","Shallow",7,2016,"Summer","2016-08-04",51.36618,-63.87583,"Soilwater"
"SW34D","SW34",1,"DNA","Shallow",5,2016,"Summer","2016-08-04",51.36654,-63.87719,"Soilwater"
"SW34R","SW34",1,"cDNA","Shallow",7,2016,"Summer","2016-08-04",51.36654,-63.87719,"Soilwater"
"SW35D","SW35",1,"DNA","Shallow",5,2016,"Summer","2016-08-05",51.21284,-63.92261,"Soilwater"
"SW35DSeq","SW35",1,"DNA","Deep",10,2016,"Summer","2016-08-05",51.21284,-63.92261,"Soilwater"
"SW35R","SW35",1,"cDNA","Shallow",7,2016,"Summer","2016-08-05",51.21284,-63.92261,"Soilwater"
"SW36D","SW36",1,"DNA","Shallow",5,2016,"Summer","2016-08-05",51.2095,-63.92092,"Soilwater"
"SW36R","SW36",1,"cDNA","Shallow",7,2016,"Summer","2016-08-05",51.2095,-63.92092,"Soilwater"
"SW37D","SW37",1,"DNA","Shallow",5,2016,"Summer","2016-08-07",51.20212,-63.9233,"Soilwater"
"SW39D","SW39",1,"DNA","Shallow",5,2016,"Summer","2016-08-07",51.18631,-63.93174,"Soilwater"
"SW40D","SW40",1,"DNA","Shallow",5,2016,"Summer","2016-08-09",51.303572,-63.869197,"Soilwater"
"SW40R","SW40",1,"cDNA","Shallow",7,2016,"Summer","2016-08-09",51.303572,-63.869197,"Soilwater"
"SW42D","SW42",1,"DNA","Shallow",5,2016,"Summer","2016-08-10",51.30536,-63.8649,"Soilwater"
"SW42R","SW42",1,"cDNA","Shallow",7,2016,"Summer","2016-08-10",51.30536,-63.8649,"Soilwater"
"SW43D","SW43",1,"DNA","Shallow",5,2016,"Summer","2016-08-10",51.30408,-63.85194,"Soilwater"
"SW43R","SW43",1,"cDNA","Shallow",7,2016,"Summer","2016-08-10",51.30408,-63.85194,"Soilwater"
"TR49D","TR49",1,"DNA","Shallow",5,2016,"Summer","2016-08-15",50.42857,-63.21352,"Tributary"
"TR49-t2-D","TR49",2,"DNA","Shallow",6,2016,"Summer","2016-08-15",50.42857,-63.21352,"Tributary"
"TR49R","TR49",1,"cDNA","Shallow",7,2016,"Summer","2016-08-15",50.42857,-63.21352,"Tributary"
"LR113D","LR113",1,"DNA","Shallow",11,2017,"Summer","2017-08-09",52.3521241188954,-63.9812450963776,"HeadwaterLakes"
"LR113R","LR113",1,"cDNA","Shallow",12,2017,"Summer","2017-08-09",52.3521241188954,-63.9812450963776,"HeadwaterLakes"
"LR116D","LR116",1,"DNA","Shallow",11,2017,"Summer","2017-08-09",52.0589174319258,-63.8435444580924,"Upriver"
"LR116R","LR116",1,"cDNA","Shallow",12,2017,"Summer","2017-08-09",52.0589174319258,-63.8435444580924,"Upriver"
"LR120D","LR120",1,"DNA","Shallow",11,2017,"Summer","2017-08-12",51.3763394609061,-63.5729518730552,"Upriver"
