"folder.path","file.path","original.name","ID.2015","pairend","final_name","dr_match_name","replicate","plate.id","year","dna_type","seq_depth","ext"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0199.LR073_R1.fastq.gz","LR073","SPR06","FWD","SPR06D","SPR06",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0199.LR073_R2.fastq.gz","LR073","SPR06","RVS","SPR06D","SPR06",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0200.LR085_R1.fastq.gz","LR085","SEDL314","FWD","SEDL314D","SEDL314",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0200.LR085_R2.fastq.gz","LR085","SEDL314","RVS","SEDL314D","SEDL314",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0201.LR002_R1.fastq.gz","LR002","PR03","FWD","PR03D","PR03",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0201.LR002_R2.fastq.gz","LR002","PR03","RVS","PR03D","PR03",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0202.LR014_R1.fastq.gz","LR014","LR13","FWD","LR13D","LR13",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0202.LR014_R2.fastq.gz","LR014","LR13","RVS","LR13D","LR13",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0203.LR026_R1.fastq.gz","LR026","RO2-01","FWD","RO201D","RO201",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0203.LR026_R2.fastq.gz","LR026","RO2-01","RVS","RO201D","RO201",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0204.LR038_R1.fastq.gz","LR038","L317","FWD","L317D","L317",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0204.LR038_R2.fastq.gz","LR038","L317","RVS","L317D","L317",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0205.LR050_R1.fastq.gz","LR050","M05","FWD","M05D","M05",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0205.LR050_R2.fastq.gz","LR050","M05","RVS","M05D","M05",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0206.LR062_R1.fastq.gz","LR062","SWPR09","FWD","SWPR09D","SWPR09",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0206.LR062_R2.fastq.gz","LR062","SWPR09","RVS","SWPR09D","SWPR09",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0207.LR074_R1.fastq.gz","LR074","SPR07","FWD","SPR07D","SPR07",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0207.LR074_R2.fastq.gz","LR074","SPR07","RVS","SPR07D","SPR07",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0208.LR086_R1.fastq.gz","LR086","SED315","FWD","SED315D","SED315",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0208.LR086_R2.fastq.gz","LR086","SED315","RVS","SED315D","SED315",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0209.LR003_R1.fastq.gz","LR003","PR05","FWD","PR05D","PR05",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0209.LR003_R2.fastq.gz","LR003","PR05","RVS","PR05D","PR05",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0210.LR015_R1.fastq.gz","LR015","LR14","FWD","LR14D","LR14",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0210.LR015_R2.fastq.gz","LR015","LR14","RVS","LR14D","LR14",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0211.LR027_R1.fastq.gz","LR027","RO2-03","FWD","RO203D","RO203",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0211.LR027_R2.fastq.gz","LR027","RO2-03","RVS","RO203D","RO203",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0212.LR039_R1.fastq.gz","LR039","L318","FWD","L318D","L318",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0212.LR039_R2.fastq.gz","LR039","L318","RVS","L318D","L318",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0213.LR051_R1.fastq.gz","LR051","M06","FWD","M06D","M06",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0213.LR051_R2.fastq.gz","LR051","M06","RVS","M06D","M06",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0214.LR063_R1.fastq.gz","LR063","SWPR10","FWD","SWPR10D","SWPR10",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0214.LR063_R2.fastq.gz","LR063","SWPR10","RVS","SWPR10D","SWPR10",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0215.LR075_R1.fastq.gz","LR075","SPR08","FWD","SPR08D","SPR08",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0215.LR075_R2.fastq.gz","LR075","SPR08","RVS","SPR08D","SPR08",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0216.LR087_R1.fastq.gz","LR087","SED316","FWD","SED316D","SED316",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0216.LR087_R2.fastq.gz","LR087","SED316","RVS","SED316D","SED316",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0217.LR004_R1.fastq.gz","LR004","PR07","FWD","PR07D","PR07",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0217.LR004_R2.fastq.gz","LR004","PR07","RVS","PR07D","PR07",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0218.LR016_R1.fastq.gz","LR016","LR15","FWD","LR15D","LR15",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0218.LR016_R2.fastq.gz","LR016","LR15","RVS","LR15D","LR15",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0219.LR028_R1.fastq.gz","LR028","RO2-05","FWD","RO205D","RO205",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0219.LR028_R2.fastq.gz","LR028","RO2-05","RVS","RO205D","RO205",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0220.LR040_R1.fastq.gz","LR040","L319","FWD","L319D","L319",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0220.LR040_R2.fastq.gz","LR040","L319","RVS","L319D","L319",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0221.LR052_R1.fastq.gz","LR052","M07","FWD","M07D","M07",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0221.LR052_R2.fastq.gz","LR052","M07","RVS","M07D","M07",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0222.LR064_R1.fastq.gz","LR064","SWLR01","FWD","SWLR01D","SWLR01",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0222.LR064_R2.fastq.gz","LR064","SWLR01","RVS","SWLR01D","SWLR01",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0223.LR076_R1.fastq.gz","LR076","SPR09","FWD","SPR09D","SPR09",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0223.LR076_R2.fastq.gz","LR076","SPR09","RVS","SPR09D","SPR09",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0224.LR088_R1.fastq.gz","LR088","SED317","FWD","SED317D","SED317",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0224.LR088_R2.fastq.gz","LR088","SED317","RVS","SED317D","SED317",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0225.LR005_R1.fastq.gz","LR005","PR09","FWD","PR09D","PR09",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0225.LR005_R2.fastq.gz","LR005","PR09","RVS","PR09D","PR09",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0226.LR017_R1.fastq.gz","LR017","LR17","FWD","LR17D","LR17",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0226.LR017_R2.fastq.gz","LR017","LR17","RVS","LR17D","LR17",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0227.LR029_R1.fastq.gz","LR029","RO2-06","FWD","RO206D","RO206",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0227.LR029_R2.fastq.gz","LR029","RO2-06","RVS","RO206D","RO206",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
